Time,HR bpm
05:52.4,160
05:52.8,160
05:53.2,159
05:53.5,160
05:53.9,160
05:54.3,161
05:54.7,160
05:55.0,160
05:55.4,162
05:55.8,162
05:56.1,161
05:56.5,160
05:56.9,160
05:57.3,160
05:57.6,160
05:58.0,158
05:58.4,159
05:58.8,159
05:59.1,159
05:59.5,158
05:59.9,161
06:00.3,159
06:00.7,161
06:01.0,161
06:01.4,162
06:01.8,163
06:02.1,163
06:02.5,163
06:02.9,161
06:03.2,162
06:03.6,160
06:04.0,162
06:04.4,161
06:04.7,162
06:05.1,162
06:05.5,163
06:05.8,163
06:06.2,166
06:06.6,164
06:06.9,165
06:07.3,166
06:07.7,164
06:08.0,164
06:08.4,163
06:08.8,165
06:09.1,165
06:09.5,166
06:09.8,164
06:10.2,166
06:10.6,168
06:10.9,166
06:11.3,165
06:11.7,168
06:12.0,168
06:12.4,168
06:12.7,168
06:13.1,166
06:13.4,166
06:13.8,166
06:14.2,167
06:14.5,167
06:14.9,168
06:15.2,167
06:15.6,169
06:16.0,169
06:16.3,170
06:16.7,169
06:17.0,169
06:17.4,169
06:17.7,167
06:18.1,168
06:18.4,167
06:18.8,168
06:19.2,168
06:19.5,169
06:19.9,168
06:20.2,168
06:20.6,168
06:21.0,168
06:21.3,168
06:21.7,166
06:22.0,166
06:22.4,166
06:22.8,167
06:23.1,165
06:23.5,167
06:23.8,167
06:24.2,167
06:24.5,167
06:24.9,168
06:25.3,167
06:25.6,166
06:26.0,165
06:26.4,165
06:26.7,164
06:27.1,164
06:27.4,165
06:27.8,165
06:28.2,165
06:28.5,166
06:28.9,167
06:29.3,167
06:29.6,168
06:30.0,167
06:30.3,168
06:30.7,167
06:31.1,165
06:31.4,167
06:31.8,166
06:32.1,166
06:32.5,166
06:32.9,168
06:33.2,169
06:33.6,165
06:33.9,167
06:34.3,169
06:34.7,168
06:35.0,168
06:35.4,168
06:35.7,166
06:36.1,168
06:36.4,167
06:36.8,169
06:37.2,169
06:37.5,170
06:37.9,168
06:38.2,169
06:38.6,170
06:38.9,169
06:39.3,169
06:39.6,167
06:40.0,169
06:40.4,167
06:40.7,169
06:41.1,169
06:41.4,169
06:41.8,169
06:42.1,169
06:42.5,170
06:42.8,169
06:43.2,169
06:43.6,167
06:43.9,169
06:44.3,168
06:44.6,168
06:45.0,169
06:45.3,169
06:45.7,171
06:46.0,170
06:46.4,169
06:46.8,170
06:47.1,169
06:47.5,169
06:47.8,168
06:48.2,169
06:48.5,169
06:48.9,169
06:49.2,169
06:49.6,169
06:50.0,170
06:50.3,171
06:50.7,169
06:51.0,170
06:51.4,169
06:51.7,169
06:52.1,169
06:52.4,169
06:52.8,170
06:53.1,171
06:53.5,171
06:53.8,171
06:54.2,169
